title,url,description,keywords,duration,view_count,datePublished,genre,,,,,,
Narendra Modi's interview with NDTV India,https://www.youtube.com/embed/9OgpkBzyWWk,Chief Minister of Gujarat Shri Narendra Modi's interview with NDTV India during his Sadbhavna Mission Fast on 17th Septemper 2011 at Gujarat University Conve...,"Chief, Minister, of, Gujarat, Shri, Narendra, Modi's, interview, with, NDTV, India, during, his, Sadbhavna, Mission, Fast, on, 17th, Septemper, 2011, at, Uni...",PT18M47S,23523,9/20/11,News & Politics,,,,,,
Shri Narendra Modi's interview with Zee News,https://www.youtube.com/embed/F0h_Vn1kRqg,Shri Narendra Modi's interview with Zee News,"Narendra Modi, Gujarat, India, Chief Minister, CM, Namo, Gujarat Government, PM, PM Candidate, Development, Vikas, Brand India, Prime Minster, BJP, NDA, NaMo...",PT48M29S,14819,5/3/14,News & Politics,,,,,,
Narendra Modi interview with Rajat Sharma,https://www.youtube.com/embed/3vJT42Ng520,"When asked ""what would you have done if you were in charge during 26/11"", Narendra Modi replies ""The same thing I did in Gujarat. It would not take me time""....","Narendra Modi (Politician), Rajat Sharma, Godhra (City/Town/Village), Mumbai (City/Town/Village)",PT1M31S,620,4/16/14,People & Blogs,,,,,,
Salman Khan and Narendra Modi Live Interview,https://www.youtube.com/embed/3PQM4U4WoRY,"Bollywood actor Salman Khan on Tuesday met Gujarat Chief Minister Narendra Modi in Ahmedabad. Salman, who was earlier seen flying kites with the Gujarat CM, ...","mirchi bollywood, bollywood news, entertainment news, Salman Khan, Narendra Modi, Live, Interview, media, press confrense, met, Gujarat, CM, Ahmedabad, PM, g...",PT7M7S,175942,1/14/14,Entertainment,,,,,,
Narendra Modi's Interview to ANI (Part 1 of 2),https://www.youtube.com/embed/74eElixjbfA,"On Wednesday, Bharatiya Janata Party (BJP) prime ministerial candidate Narendra Modi spoke to Asian News International (ANI), discussing his thoughts on the ...","Narendra Modi ANI Interview - Part 1, Narendra Modi, ANI, Interview, Part-1, Bhartiya Janata Party, 2002, Riots, Loksabha Elctions 2014, Bharatiya Janata Par...",PT31M41S,1007,4/16/14,News & Politics,,,,,,
Narendra Modi's interview with Star News,https://www.youtube.com/embed/eJ-tumzU0hQ,Chief Minister of Gujarat Shri Narendra Modi's interview with Star News during his Sadbhavna Mission fast at University Convention Hall in Ahmedabad on 17th ...,"Chief, Minister, of, Gujarat, Shri, Narendra, Modi's, interview, with, Star, News, during, his, Sadbhavna, Mission, fast, at, University, Convention, Hall, i...",PT23M3S,41044,9/18/11,News & Politics,,,,,,
Narendra Modi's Exclusive Interview to ANI (Part 1 of 2),https://www.youtube.com/embed/_O-GvEzU8jo,Narendra Modi's Exclusive Interview to ANI (Part 1 of 2),"Narendra Modi (Politician), India, Interview, Bharatiya Janata Party (Organization), Asian News International, ANI, Smita Prakash",PT45M2S,64687,4/16/14,News & Politics,,,,,,
Watch How Narendra Modi Destroyed Arnab Goswami on Rahul Gandhi issue small,https://www.youtube.com/embed/WWoIPyE0hOI,Watch How Narendra Modi Destroyed Arnab Goswami on Rahul Gandhi issue MallikaLA Wishes To NarendraModi On His Birthday #Bachelor Must Watch Narendra Modi_s S...,"Sonia Gandhi Author, Anna Hazare, Aam Aadmi Party, Rahul Gandhi, Arvind Kejriwal, Narendra Modi Politician, Sheila Dikshit, Kisan Baburao Hazare Person, Rahu...",PT2M39S,916298,2/1/14,News & Politics,,,,,,
KELVIKKENNA BATHIL - Exclusive Interview With Narendra Modi 19/04/2014,https://www.youtube.com/embed/6SlgcrEVpCg,Exclusive Interview With Narendra Modi In KELVIKKENNA BATHIL @ Thanthi TV - 19/04/2014 Watch http://www.thanthitv.com/ for more updates. Also Follow us on - ...,"Thanthi TV, Thanthi, narendra modi, namo, modi, lok sabha polls, lok sabha election 2014, lok sabha elections, kelvikku enna bathil, exclusive interview with...",PT37M1S,138667,4/23/14,News & Politics,,,,,,
Narendra Modi's interview to DD News,https://www.youtube.com/embed/KNtIwqN01bI,Narendra Modi's interview to DD News,"Narendra Modi, Interview, DD News, Gujarat, India, Politics, BJP, leader, Doordarshan (TV Network)",PT34M5S,37314,4/27/14,News & Politics,,,,,,
