type_p,title,thumbnail,video
video,CM Narendra Modi's Interview with Students from USA,https://i.ytimg.com/vi/yoMXE8Vk8jw/mqdefault.jpg,https://www.youtube.com/watch?v=yoMXE8Vk8jw
video,Narendra Modi Very Very Very Very Strong Reply on 2002 Gujarat Riots A MUST MUST WATCH,https://i.ytimg.com/vi/jsBj7a7lTSs/mqdefault.jpg,https://www.youtube.com/watch?v=jsBj7a7lTSs
video,NEWS9: Narendra Modi's interview 5,https://i.ytimg.com/vi/1CSGY9zfQPk/mqdefault.jpg,https://www.youtube.com/watch?v=1CSGY9zfQPk
video,Narendra Modi Interview with Sahara Samay,https://i.ytimg.com/vi/OkZD4XY2Unk/mqdefault.jpg,https://www.youtube.com/watch?v=OkZD4XY2Unk
video,"Narendra Modi Interview July 13, 2008- Part 3",https://i.ytimg.com/vi/gNBvrYbHqNI/mqdefault.jpg,https://www.youtube.com/watch?v=gNBvrYbHqNI
video,Rare Video : Narendra Modi Interview When He Was Just A Party Worker (2),https://i.ytimg.com/vi/7y9oHuo7XoA/mqdefault.jpg,https://www.youtube.com/watch?v=7y9oHuo7XoA
video,a Must Watch * Warning Pakistan PM and NDTV Journalist Barkha Dutt*,https://i.ytimg.com/vi/HUrnY_oDVgU/mqdefault.jpg,https://www.youtube.com/watch?v=HUrnY_oDVgU
video,"After Narendra Modi interview, Prasar Bharti CEO talks of ""shadow of government""",https://i.ytimg.com/vi/pjeTHbW3dZc/mqdefault.jpg,https://www.youtube.com/watch?v=pjeTHbW3dZc
video,Narendra Modi's Interview with Times Now,https://i.ytimg.com/vi/QPi48jTty84/mqdefault.jpg,https://www.youtube.com/watch?v=QPi48jTty84
video,Narendra Modi Interview   Rare & Never Seen Part 1,https://i.ytimg.com/vi/s0m3-sAqnUQ/mqdefault.jpg,https://www.youtube.com/watch?v=s0m3-sAqnUQ
video,NARENDRA MODI FULL 1999 INTERVIEW WITH TV ASIA,https://i.ytimg.com/vi/I2XtQLJW5SY/mqdefault.jpg,https://www.youtube.com/watch?v=I2XtQLJW5SY
video,Narendra Modi Interview   Rare & Never Seen Part 2,https://i.ytimg.com/vi/Wnh6nYNpuWg/mqdefault.jpg,https://www.youtube.com/watch?v=Wnh6nYNpuWg
video,Narendra Modi Interview Must Watch Best Speech Forever godhra,https://i.ytimg.com/vi/FY9mCoKnddE/mqdefault.jpg,https://www.youtube.com/watch?v=FY9mCoKnddE
video,Narendra Modi's Interview on ETV - Part 1,https://i.ytimg.com/vi/45ixrRtrmDI/mqdefault.jpg,https://www.youtube.com/watch?v=45ixrRtrmDI
video,Narendra Modi's Interview with Hari Shankar Vyas for ETV Central hall /Naya India Part 1,https://i.ytimg.com/vi/QTbidHDTJTw/mqdefault.jpg,https://www.youtube.com/watch?v=QTbidHDTJTw
video,Narendra modi interview with arnab,https://i.ytimg.com/vi/-hYt6mKqLPQ/mqdefault.jpg,https://www.youtube.com/watch?v=-hYt6mKqLPQ
video,Old Is Gold : PM Narendra Modi's Interview In 1999,https://i.ytimg.com/vi/Owk9UBSj2_o/mqdefault.jpg,https://www.youtube.com/watch?v=Owk9UBSj2_o
video,EXCLUSIVE :narendra modi interview with arnav goswami:frankly speaking,https://i.ytimg.com/vi/Gna1_lkccjY/mqdefault.jpg,https://www.youtube.com/watch?v=Gna1_lkccjY
video,Narendra Modi's interview with IBN7,https://i.ytimg.com/vi/z37DqooF9jc/mqdefault.jpg,https://www.youtube.com/watch?v=z37DqooF9jc
video,Narendra Modi's interview to ANI part 1,https://i.ytimg.com/vi/ysIYAM9bCC4/mqdefault.jpg,https://www.youtube.com/watch?v=ysIYAM9bCC4
video,Narendra Modi's interview,https://i.ytimg.com/vi/5m1Dn2HnFyE/mqdefault.jpg,https://www.youtube.com/watch?v=5m1Dn2HnFyE
video,Sakshi TV - Narendra Modi interview fallout: SP disowns Shahid Siddiqui,https://i.ytimg.com/vi/pPxrsHQ7mSM/mqdefault.jpg,https://www.youtube.com/watch?v=pPxrsHQ7mSM
video,Decoding Modi Part-III: First & Exclusive Interview - Modi opens up on Godhra tragedy,https://i.ytimg.com/vi/8CYV3pheMx0/mqdefault.jpg,https://www.youtube.com/watch?v=8CYV3pheMx0
video,Aalami Samay (Takrar) Narendra Modi Interview by Syed Faisal Ali,https://i.ytimg.com/vi/fCYAGN4fOzA/mqdefault.jpg,https://www.youtube.com/watch?v=fCYAGN4fOzA
video,Narendra Modi's exclusive interview at ABP Ananda Ghoshanapatra,https://i.ytimg.com/vi/EgjWv_VfZQI/mqdefault.jpg,https://www.youtube.com/watch?v=EgjWv_VfZQI
video,BJP Byte by Smt  Nirmala Sitharaman on Narendra Modi Interview,https://i.ytimg.com/vi/uWMx04oKvj0/mqdefault.jpg,https://www.youtube.com/watch?v=uWMx04oKvj0
video,Narendra Modi's Interview,https://i.ytimg.com/vi/VeVOQ6-klX4/mqdefault.jpg,https://www.youtube.com/watch?v=VeVOQ6-klX4
video,Narendra Modi Interview To ANI : à__à_°à__à_¨à¥‡ à_¨à__à¥€à_‚... à__à_¿à__à¥‹à_‚ à_•à¥‹ à_œà¥€à__à_¨à¥‡..,https://i.ytimg.com/vi/vgjhLD9PHLo/mqdefault.jpg,https://www.youtube.com/watch?v=vgjhLD9PHLo
video,Narendra Modi Interview by Pihoo,https://i.ytimg.com/vi/EwXrg1P2_jw/mqdefault.jpg,https://www.youtube.com/watch?v=EwXrg1P2_jw
video,Kaustubh Phaltankar on Narendra Modi's Interview to Reuters,https://i.ytimg.com/vi/vGoEZd5AsyQ/mqdefault.jpg,https://www.youtube.com/watch?v=vGoEZd5AsyQ
video,Narendra Modi interview with Deepak Chaurasia on becoming Prime Minister of India,https://i.ytimg.com/vi/b_VDqbeOTtE/mqdefault.jpg,https://www.youtube.com/watch?v=b_VDqbeOTtE
video,Rajdeep Sardesai and Madhu Kishwar fight over Narendra Modi at Odisha Lit Fest 2014,https://i.ytimg.com/vi/TP0D7r3hhYY/mqdefault.jpg,https://www.youtube.com/watch?v=TP0D7r3hhYY
video,First interview of Prime Minister Narendra Modi after becoming the PM,https://i.ytimg.com/vi/Zfboda4ltPw/mqdefault.jpg,https://www.youtube.com/watch?v=Zfboda4ltPw
